Date,Open,High,Low,Close,Adj Close,Volume
2016-07-15,7.013810,7.088760,6.974360,7.001970,6.933566,22120900
2016-07-18,6.982250,6.982250,6.863910,6.871800,6.804667,24467813
2016-07-19,6.911240,7.049310,6.883630,6.994080,6.925754,27209545
2016-07-20,7.021700,7.053250,6.895460,6.934910,6.867161,27004200
2016-07-21,6.986190,7.005920,6.895460,6.958580,6.890600,25776570
2016-07-22,6.986190,7.009860,6.946750,6.990140,6.921852,26156518
2016-07-25,6.994080,7.289940,6.994080,7.191320,7.121067,48347734
2016-07-26,7.179490,7.270220,7.116370,7.211050,7.140604,25433174
2016-07-27,7.238660,7.447730,7.017750,7.159760,7.089815,52204668
2016-07-28,7.179490,7.266270,7.025640,7.222880,7.152318,23528880
2016-07-29,7.214990,7.333330,7.171600,7.321500,7.249975,28815510
2016-08-01,7.266270,7.329390,7.100590,7.258380,7.187471,27846783
2016-08-02,7.266270,7.506900,7.266270,7.424060,7.351533,24626502
2016-08-03,7.463510,7.471400,7.297830,7.329390,7.257788,13594071
2016-08-04,7.325440,7.467460,7.266270,7.396450,7.324193,22582017
2016-08-05,7.388560,7.447730,7.313610,7.392510,7.320291,15037485
2016-08-08,7.392510,7.514790,7.353060,7.483240,7.410134,21138628
2016-08-09,7.558190,7.573970,7.455620,7.491120,7.417938,15838339
2016-08-10,7.408280,7.471400,7.341220,7.357000,7.285128,26245545
2016-08-11,7.337280,7.353060,7.159760,7.167650,7.097628,24966108
2016-08-12,7.171600,7.246550,7.061140,7.179490,7.109352,16974397
2016-08-15,7.187380,7.416170,7.112430,7.380670,7.308567,25349344
2016-08-16,7.372780,7.510850,7.341220,7.455620,7.382784,23083952
2016-08-17,7.455620,7.499010,7.337280,7.475350,7.402321,19208936
2016-08-18,7.475350,7.538460,7.388560,7.443790,7.371070,20304667
2016-08-19,7.447730,7.526630,7.392510,7.510850,7.437475,24724809
2016-08-22,7.510850,7.558190,7.388560,7.412230,7.339818,18978649
2016-08-23,7.376730,7.684420,7.360950,7.668640,7.593723,31529625
2016-08-24,7.660750,7.719920,7.518740,7.609470,7.535131,20922261
2016-08-25,7.522680,7.641030,7.435900,7.593690,7.519506,20961959
2016-08-26,7.633140,7.834320,7.558190,7.712030,7.636689,27604944
2016-08-29,7.775150,8.078900,7.775150,7.952660,7.874969,52925855
2016-08-30,7.948720,8.118340,7.901380,7.972390,7.894506,40674052
2016-08-31,7.972390,7.992110,7.830380,7.838260,7.761687,19532868
2016-09-01,7.834320,7.980280,7.830380,7.921110,7.843728,24095427
2016-09-02,7.889550,8.000000,7.806710,7.992110,7.914033,23415910
2016-09-05,8.007890,8.260360,7.992110,8.205130,8.124972,48649483
2016-09-06,8.319530,8.414200,8.086790,8.252470,8.171850,36344984
2016-09-07,8.252470,8.374750,8.082840,8.114400,8.035128,37552273
2016-09-08,8.122290,8.205130,7.822490,7.944770,7.867156,42714217
2016-09-09,7.944770,8.067060,7.944770,7.976330,7.898407,30841398
2016-09-12,7.790930,7.948720,7.692310,7.814600,7.738257,27453163
2016-09-13,7.814600,8.126230,7.814600,7.976330,7.898407,31013134
2016-09-14,8.086790,8.319530,7.988170,8.071010,7.992162,51283335
2016-09-19,8.323470,8.485210,8.130180,8.216960,8.136686,44971046
2016-09-20,8.209070,8.228800,7.968440,8.055230,7.976537,22692829
2016-09-21,8.039450,8.157790,7.960550,8.051280,7.972626,22639592
